"UKA_app.UKA.contrast","UKA_app.UKA.Sgroup_contrast","UKA_app.UKA.Kinase Name","UKA_app.UKA.Kinase Uniprot ID","UKA_app.UKA.Kinase entrezid","UKA_app.UKA.Kinase Group","UKA_app.UKA.Kinase Family","UKA_app.UKA.Median Final score","UKA_app.UKA.Final score rank","UKA_app.UKA.Mean Significance Score","UKA_app.UKA.Mean Specificity Score","UKA_app.UKA.Median Kinase Statistic","UKA_app.UKA.Median Kinase Change","UKA_app.UKA.Mean peptide set size","UKA_app.UKA.Max Final score","UKA_app.UKA.SD Kinase Statistic","UKA_app.UKA.Mean Kinase Statistic"
"Hard vs C_Soft","C_WT_Hard vs C_Soft","AKT1","P31749",207,"AGC","Akt",2.2365720064370627,22,1.0,1.2905535060684146,-6.288799946490414,-0.7678926660303462,22.0,2.4948500216800937,0.2011262129723774,-6.249110092849869
"Hard vs C_Soft","C_WT_Hard vs C_Soft","AKT2","P31751",208,"AGC","Akt",2.4685210829577446,16,1.0,1.554518108730089,-6.5678608053446,-0.708763992786406,21.0,2.920818753952375,0.26559405073613696,-6.597356957188545
"Hard vs C_Soft","C_WT_Hard vs C_Soft","AKT3","Q9Y243",10000,"AGC","Akt",1.9913998282380825,27,1.0,1.050696392195624,-7.242313753796325,-0.8241312768724187,7.0,2.3010299956639813,0.25049203759404115,-7.213168326501474
"Hard vs C_Soft","C_WT_Hard vs C_Soft","ATR","Q13535",545,"Atypical","PIKK",1.3809066693732572,53,1.0,0.3972386342632186,-5.088858137857697,-0.7740978082021088,5.0,1.549750891680639,0.2282454611768825,-5.164939958249992
"Hard vs C_Soft","C_WT_Hard vs C_Soft","AURKA","O14965",6790,"CAMK","Aur",1.0371573187987575,77,1.0,0.0365675397229768,-2.2550673436489106,-0.42256740729014,4.0,1.0438315695246367,0.0,-2.2550673436489106
"Hard vs C_Soft","C_WT_Hard vs C_Soft","AURKB","Q96GD4",9212,"CAMK","Aur",1.1870866433571443,62,1.0,0.1615948187613424,-3.9706357155626595,-0.47884984811147047,4.0,1.2146701649892329,0.7202234630248745,-3.6076772066945564
"Hard vs C_Soft","C_WT_Hard vs C_Soft","CAMK2A","Q9UQM7",815,"CAMK","CAMK2",1.5142785735184199,43,1.0,0.8051026985082205,-5.841303238799246,-0.8434115091959461,6.0,2.3565473235138126,1.2156898723382357,-6.505193864703587
"Hard vs C_Soft","C_WT_Hard vs C_Soft","CAMK2B","Q13554",816,"CAMK","CAMK2",1.2907300390241692,56,1.0,0.3200111329385632,-4.813873209475218,-0.7400207519531281,5.0,1.4710832997223453,0.40881717523354655,-4.826849322444555
"Hard vs C_Soft","C_WT_Hard vs C_Soft","CAMK2D","Q13557",817,"CAMK","CAMK2",2.2839966563652006,20,1.0,1.159634610993362,-8.266124647932047,-0.8326666355132952,6.0,2.6989700043360187,1.3127286237863185,-7.478558164493163
"Hard vs C_Soft","C_WT_Hard vs C_Soft","CAMK2G","Q13555",818,"CAMK","CAMK2",2.858349385648225,12,1.0,1.979515840304269,-9.7443970385542,-0.9436207082536398,6.0,3.3979400086720375,0.8142539592940934,-10.15987787112188
