"UKA_app0.UKA0.contrast","UKA_app0.UKA0.Sgroup_contrast","UKA_app0.UKA0.Kinase Name","UKA_app0.UKA0.Kinase Uniprot ID","UKA_app0.UKA0.Kinase entrezid","UKA_app0.UKA0.Kinase Group","UKA_app0.UKA0.Kinase Family","UKA_app0.UKA0.Median Final score","UKA_app0.UKA0.Final score rank","UKA_app0.UKA0.Mean Significance Score","UKA_app0.UKA0.Mean Specificity Score","UKA_app0.UKA0.Median Kinase Statistic","UKA_app0.UKA0.Median Kinase Change","UKA_app0.UKA0.Mean peptide set size","UKA_app0.UKA0.Max Final score","UKA_app0.UKA0.SD Kinase Statistic","UKA_app0.UKA0.Mean Kinase Statistic"
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AKT1","P31749",207,"AGC","Akt",1.9608239156239589,26,1.3187587626244128,0.7624679329948273,1.9235796204736977,0.302882121159483,22.0,2.5705707356182126,0.09122605727211619,1.9287989969774022
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AKT2","P31751",208,"AGC","Akt",2.7166987712964503,9,1.3187587626244128,1.4897306294692416,2.211019310116732,0.3121086359024105,21.0,3.7166987712964503,0.08474320035567558,2.1946370818478007
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AKT3","Q9Y243",10000,"AGC","Akt",2.4495270428934366,11,1.3187587626244128,1.3044793278971738,2.5906942700551534,0.37430483102798046,7.0,3.318758762624413,0.12207507489608371,2.589268810828927
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","ATR","Q13535",545,"Atypical","PIKK",1.6128950503404935,47,1.3187587626244128,0.291632171922591,1.710840768926667,0.29279601573943576,5.0,1.6303389406217021,0.015016008661690247,1.7058354327061036
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AURKA","O14965",6790,"CAMK","Aur",0.25354017650203153,90,0.2456516642889812,0.007404199412210526,0.2689605677114185,0.08425846695900407,4.0,0.25709270741036566,0.0,0.2689605677114185
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AURKB","Q96GD4",9212,"CAMK","Aur",0.6117850864482346,79,0.44986361243457584,0.026684469646661473,0.6670992939326397,0.11204877495765686,4.0,0.6212678754533558,0.30629047510205937,0.5127434032530453
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2A","Q9UQM7",815,"CAMK","CAMK2",2.1426675035687315,23,1.3187587626244128,0.865785287188326,2.3275111026196424,0.4351580381393603,6.0,2.3364875295848444,0.12453134632675433,2.378018065040762
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2B","Q13554",816,"CAMK","CAMK2",2.198184831418563,20,1.3187587626244128,0.7750510727419991,2.45139285344038,0.3807633221149487,5.0,2.285335007137463,0.2585421964913848,2.374714389506258
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2D","Q13557",817,"CAMK","CAMK2",2.198184831418563,21,1.3187587626244128,0.9070567034877478,2.3680594135466992,0.45037522912026295,6.0,2.3944794765625312,0.02219981315588831,2.3632384006104545
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2G","Q13555",818,"CAMK","CAMK2",2.236344495452172,18,1.3187587626244128,0.9144012055902134,2.3616005622563723,0.4523384372393385,6.0,2.318758762624413,0.050797239587565095,2.3902755915784453
