"UKA_app1.UKA1.contrast","UKA_app1.UKA1.Sgroup_contrast","UKA_app1.UKA1.Kinase Name","UKA_app1.UKA1.Kinase Uniprot ID","UKA_app1.UKA1.Kinase entrezid","UKA_app1.UKA1.Kinase Group","UKA_app1.UKA1.Kinase Family","UKA_app1.UKA1.Median Final score","UKA_app1.UKA1.Final score rank","UKA_app1.UKA1.Mean Significance Score","UKA_app1.UKA1.Mean Specificity Score","UKA_app1.UKA1.Median Kinase Statistic","UKA_app1.UKA1.Median Kinase Change","UKA_app1.UKA1.Mean peptide set size","UKA_app1.UKA1.Max Final score","UKA_app1.UKA1.SD Kinase Statistic","UKA_app1.UKA1.Mean Kinase Statistic"
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","AKT1","P31749",207,"AGC","Akt",1.3705904008972811,40,1.0,0.3471905872458972,2.4026802463284587,0.3352591435114605,23.0,1.5114492834995557,0.11507460825208923,2.36754637339481
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","AKT2","P31751",208,"AGC","Akt",1.46344155742847,34,1.0,0.5071388424225272,2.4779394716660805,0.3131092725656061,22.0,1.7399286120149253,0.13641450083173703,2.524300663630176
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","AKT3","Q9Y243",10000,"AGC","Akt",2.1307682802690238,8,1.0,1.1845846417135013,3.6701302480311013,0.37306354596065483,8.0,2.6197887582883936,0.21715629819371687,3.5754867348603114
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","ARAF","P10398",369,"TKL","RAF",1.2806687130162733,48,1.0,0.2846824819354969,2.064507111190175,0.3983972072601336,3.0,1.3279021420642825,0.0,2.064507111190175
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","ATR","Q13535",545,"Atypical","PIKK",1.2410881076020264,52,1.0,0.25155030827549213,2.018695367525978,0.34141734441122507,5.0,1.3316140833099999,0.07297503494468582,2.0430203791742065
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","AURKA","O14965",6790,"CAMK","Aur",0.4058285208850879,95,0.3979400086720376,0.008581192271230718,0.5218494115441304,0.1306300759315493,4.0,0.41027374374576303,0.0,0.5218494115441304
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","AURKB","Q96GD4",9212,"CAMK","Aur",1.0390538042661686,72,0.8270774999147459,0.03265130473406934,0.9809027799934735,0.18063086271286166,4.0,1.0438315695246367,0.3114148228567727,0.8239644607823776
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","BRAF","P15056",673,"TKL","RAF",1.2806687130162733,49,1.0,0.2846824819354969,2.064507111190175,0.3983972072601336,3.0,1.3279021420642825,0.0,2.064507111190175
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CAMK2A","Q9UQM7",815,"CAMK","CAMK2",1.5466816599529625,26,1.0,0.5676747106014027,2.7564476050736326,0.4152155187394806,6.0,1.7304870557820837,0.25929862323569025,2.7805036951367175
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CAMK2B","Q13554",816,"CAMK","CAMK2",1.6161846340195687,22,1.0,0.5622350296446723,2.9817205842651306,0.34197441736856904,5.0,1.8356471442155629,0.49171206610851814,2.849184768122988
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CAMK2D","Q13557",817,"CAMK","CAMK2",1.38933983691012,39,1.0,0.4187052562752604,2.3808151337908057,0.4316059880786433,6.0,1.5985994592184558,0.23148658967216637,2.4564287424246274
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CAMK2G","Q13555",818,"CAMK","CAMK2",1.4168382372842836,37,1.0,0.4275079219142223,2.445266969142387,0.45785314506954594,6.0,1.4788619162959638,0.042855976798430145,2.45901810362815
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CAMK4","Q16566",814,"CAMK","CAMK1",1.5228787452803376,27,1.0,0.5011981641034917,2.7593445761128277,0.37529536088308624,9.0,1.6497519816658373,0.1747137358940298,2.636373144803173
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK1","P06493",983,"CMGC","CDK",0.714892970433188,87,0.7797476407733812,0.01403060460077247,0.9794528310111168,0.18367030507042323,7.0,1.016824927962187,0.17405618633434966,0.9764044810911164
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK10","Q15131",8558,"CMGC","CDK",1.712198270069774,18,1.0,0.6734891828590125,3.16555352892606,0.3199153476291026,4.0,1.8538719643217618,0.3153407525249141,3.0647413669559405
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK11A","Q9UQ88",728642,"CMGC","CDK",0.16412130725892246,98,0.17721755652928092,0.011473872405316296,0.45884670239292774,0.21337095896403158,4.0,0.24230037491226128,0.05034270476474663,0.4913427785857445
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK13","Q14004",8621,"CMGC","CDK",0.37498527515453295,97,0.372363747448347,0.002621527706185942,0.21717112437327474,-0.056265205144880905,4.0,0.5281218006927095,0.01026094927890965,0.21717112437327474
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK15","Q96Q40",65061,"CMGC","CDK",1.790484985457369,15,1.0,0.8108549287528152,3.3714563192236118,0.38739428917565366,4.0,1.899629454882437,0.007501536544383866,3.3689558070421506
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK17","Q00537",5128,"CMGC","CDK",0.43320908761840826,92,0.3979400086720376,0.03526907894637064,0.6990041493358206,0.1718468666076675,3.0,0.43320908761840826,,0.6990041493358206
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK18","Q07002",5129,"CMGC","CDK",0.8035474582966108,82,0.6989700043360187,0.10457745396059208,1.1197070049291569,0.23126864433288544,3.0,0.8035474582966108,,1.1197070049291569
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK2","P24941",1017,"CMGC","CDK",1.0186344909214555,76,0.9331044454080042,0.028170437721911492,1.1425366987137275,0.15907805164654398,7.0,1.0767559813697236,0.15405091247014271,1.1264417272166396
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK3","Q00526",1018,"CMGC","CDK",1.2118316288588322,55,1.0,0.21735549920011205,1.939459816944051,0.23439594904581024,5.0,1.431798275933005,0.2465038748210909,1.9388101166503053
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK4","P11802",1019,"CMGC","CDK",0.7840981867959684,83,0.6989700043360187,0.09750516519460857,1.1624398255976123,0.2770657804277201,3.0,0.8860566476931632,0.21769870909651318,1.2350060619631167
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK5","Q00535",1020,"CMGC","CDK",0.5525318690502442,90,0.5228787452803376,0.0323746273320045,0.893707960879403,0.2138168215751648,4.0,0.5667103148049744,0.0,0.893707960879403
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK6","Q00534",1021,"CMGC","CDK",0.7757259857057422,85,0.6794043088853875,0.08358016265445345,1.3129894666160993,0.25424351294834424,4.0,0.8113527040002826,0.05890317755655679,1.293355074097247
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK7","P50613",1022,"CMGC","CDK",1.0324520237811379,73,1.0,0.03980865369080918,1.3649875047930624,0.17953340212503766,9.0,1.0736575533743449,0.16019934455032367,1.3919661043053289
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDK9","P50750",1025,"CMGC","CDK",0.16367588429324834,99,0.20361130521182252,0.013219031507699758,0.47452394888751975,0.11698804299036603,4.0,0.3279021420642826,0.05135698870499042,0.5087619413575134
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDKL1","Q00532",8814,"CMGC","CDKL",0.7788466780452948,84,0.8193820026016112,0.08066718620885782,1.261061204600651,0.16595957676569517,4.0,1.1001794975729038,0.006388659447128522,1.2563955874121033
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDKL4","Q5MAI5",344387,"CMGC","CDKL",0.5365663004280852,91,0.5228787452803376,0.013687555147747624,0.5021199976120443,0.052095837063268924,3.0,0.5397036732425247,0.0,0.5021199976120443
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CDKL5","O76039",6792,"CMGC","CDKL",0.8102290436531261,81,0.6989700043360187,0.10474252271770192,1.4244509190469432,0.33025683959325103,4.0,1.1857524042680798,0.45593347318202054,1.3567245731890738
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CHEK1","O14757",1111,"CAMK","CAMKL",0.7408841558149336,86,0.7324177816320167,0.045401517167600595,1.2403836447016363,0.21762104829152898,6.0,1.1079053973095196,0.2039073206642974,1.2507678132531956
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CHEK2","O96017",11200,"CAMK","RAD53",1.080921907623926,69,1.0,0.09373191518472332,1.8716425938728634,0.2907603014083125,16.0,1.1438755557576996,0.08677232488424648,1.86759175639639
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CHUK","O15111",1147,"OTHER","IKK",1.8416375079047502,14,1.0,0.8335368399876101,3.423666212563736,0.5326949954032847,4.0,1.8794260687941502,0.0025506559265555673,3.4219657752793653
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","COQ8A","Q8NI60",56997,"Atypical","NA",0.3979400086720376,96,0.313993613264248,0.0003875919828690386,0.495264352741286,0.166628777980802,7.0,0.7024583321818401,0.19351481926995298,0.4505562639575976
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","CSNK1A1","P48729",1452,"CK1","CK1",1.4710832997223453,33,1.0,0.4369500095686953,2.5889677702574514,0.41241631905238574,7.0,1.537602002101044,0.15641992636036114,2.4961156828744664
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","DAPK2","Q9UIK4",23604,"CAMK","DAPK",1.151223182800332,62,1.0,0.14816551849105056,1.5736625902723151,0.273358980814615,3.0,1.1636758842932482,0.0,1.5736625902723151
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","DAPK3","O43293",1613,"CAMK","DAPK",1.1123826996642638,67,1.0,0.11238269966426384,1.405628071524595,0.1493458747863805,3.0,1.1123826996642638,,1.405628071524595
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","DCLK2","Q8N568",166614,"CAMK","DCAMKL",1.2006594505464183,56,1.0,0.1944328565084896,2.0152014929609705,0.27099429236517814,8.0,1.3010299956639813,0.23490448563336372,1.9677231190647575
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","GSK3B","P49841",2932,"CMGC","GSK",1.3334820194451191,43,1.0,0.334357295889508,2.2143476928527615,0.34201542536418056,3.0,1.3585258894959005,0.0,2.2143476928527615
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","IKBKB","O14920",3551,"OTHER","IKK",1.6615435063953952,19,1.0,0.659691652671212,3.0256507259872314,0.5567785104115629,3.0,1.6989700043360187,0.03797599269123655,3.0086673457531035
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","IKBKE","Q14164",9641,"OTHER","IKK",1.6020599913279625,23,1.0,0.5873459097659939,2.873286140128761,0.42354958852132735,5.0,1.6736641390712486,0.08900128058625442,2.828433710643521
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK1","P28482",5594,"CMGC","MAPK",1.0597761417313776,71,1.0,0.08493076447764057,1.4353797895281586,0.2114047550019693,7.0,1.2856702402547668,0.2551507428007378,1.491741068788153
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK10","P53779",5602,"CMGC","MAPK",1.0241088635982072,74,1.0,0.026995996027689564,1.3869538353305304,0.22300415328054288,11.0,1.0506099933550872,0.051460049026637734,1.4128872624123732
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK11","Q15759",5600,"CMGC","MAPK",0.5759579327983384,88,0.5228787452803376,0.053079187518000795,0.9437592251344112,0.30185153749254895,3.0,0.5803746391122568,0.0,0.9437592251344112
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK12","P53778",6300,"CMGC","MAPK",0.42666415993393236,93,0.6125087542933917,0.027107038108455907,0.7636672978681535,0.12746870517731224,5.0,1.087246696328677,0.28904320863870514,0.8873957612007322
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK13","O15264",5603,"CMGC","MAPK",1.1135092748275182,66,1.0,0.15565914741962106,1.6487363917095759,0.2741349538167289,6.0,1.378823718224965,0.3255783703322982,1.7529719898536344
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK14","Q16539",1432,"CMGC","MAPK",1.1536628878701947,61,1.0,0.11993985886174964,1.7723709212612369,0.3295163578457296,6.0,1.2132485778544388,0.22361895529382864,1.6323148736637494
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK3","P27361",5595,"CMGC","MAPK",1.1343039400839294,63,1.0,0.1350517523708306,1.7172361421478255,0.2510482072830089,7.0,1.1884249941294067,0.17221030124308562,1.7435754094271518
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK7","Q13164",5598,"CMGC","MAPK",1.0186344909214555,77,0.8662088908160084,0.0711951688811798,1.1562854646855982,0.18869262933730946,5.0,1.1611509092627448,0.22383341031499063,1.3230083153238517
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK8","P45983",5599,"CMGC","MAPK",1.0231916626619337,75,1.0,0.02533901117544336,1.3869538353305304,0.22300415328054288,11.0,1.0506099933550872,0.03890014062276426,1.399920548871452
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPK9","P45984",5601,"CMGC","MAPK",1.0604807473813815,70,0.9665522227040021,0.07557803370167628,1.540865338461736,0.23068834234166483,8.0,1.1214782044987934,0.1964324535112531,1.556034244824368
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPKAPK2","P49137",9261,"CAMK","MAPKAPK",1.2350770153501116,53,1.0,0.26897899688991117,2.227532378418079,0.3065262966685826,22.0,1.4294570601181025,0.13519765505958,2.248376082827951
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MAPKAPK3","Q16644",7867,"CAMK","MAPKAPK",1.4045037781744258,38,1.0,0.49079727447394456,2.4171797057374715,0.31193779196057686,25.0,2.376750709602099,0.3496210790749901,2.3154273374911325
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MTOR","P42345",2475,"Atypical","PIKK",1.4921441283041692,32,1.0,0.5560275664921466,2.606478909889398,0.3880357583363875,5.0,1.6989700043360187,0.1734575967408163,2.722117307716609
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","MYLK3","Q32MK0",91807,"CAMK","MLCK",1.1817741063860445,58,1.0,0.18678109910408783,1.7507204606003857,0.39055320951673256,3.0,1.2132485778544388,0.0,1.7507204606003857
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","NPR1","P16066",4881,"RGC","RGC",1.1295960947209729,64,1.0,0.13250065476779704,1.9552020101147132,0.38257506915501394,15.0,1.1870866433571443,0.07009874584587379,1.9576509468738774
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","NPR2","P20594",4882,"RGC","RGC",1.6270879970298935,21,1.0,0.6315647457356417,2.954572060795389,0.528211653232572,4.0,1.665546248849069,0.06528158650239067,2.99226240233567
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PAK1","Q13153",5058,"STE","STE20",1.1636758842932482,60,1.0,0.1629365940267385,1.7643467292985253,0.38067584037780977,5.0,1.191114132640188,0.0,1.7643467292985253
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PIM1","P11309",5292,"CAMK","PIM",1.3279021420642825,44,1.0,0.35292125916890477,2.354568989500156,0.3158800636512634,48.0,1.4710832997223453,0.02754667638079191,2.363021432032228
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PIM2","Q9P1W9",11040,"CAMK","PIM",1.3645162531850878,41,1.0,0.38214438009855206,2.359435470584117,0.27669352955288223,30.0,1.571865205971211,0.09093939147606062,2.3724517359623656
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PIM3","Q86V86",415116,"CAMK","PIM",1.2806687130162733,50,1.0,0.2846824819354969,2.064507111190175,0.3983972072601336,3.0,1.3279021420642825,0.0,2.064507111190175
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PKN1","Q16512",5585,"AGC","PKN",0.866860626684449,80,0.7614393726401688,0.10542125404428018,1.3925856328858013,0.17610087394714555,4.0,1.1402614338028532,0.262642212266666,1.3925856328858013
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PKN2","Q16513",5586,"AGC","PKN",0.9079815292472029,78,0.6989700043360187,0.20901152491118416,1.7517167508477811,0.1650017632378503,3.0,0.9079815292472029,,1.7517167508477811
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PLK3","Q9H4B4",1263,"CAMK","PLK",1.638272163982407,20,1.0,0.6417716907682051,3.1133856090710386,0.43250452147587765,4.0,1.744727494896694,0.14795624805358062,2.9893287065819925
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKAA1","Q13131",5562,"CAMK","CAMKL",1.1951793212788377,57,1.0,0.19615407366617893,2.0479355917734536,0.335822632818507,10.0,1.2426039712069759,0.058927576871476525,2.062546859724586
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKACA","P17612",5566,"AGC","PKA",3.6989700043360187,1,1.0,2.6989700043360187,2.8415901723303465,0.3630066828595267,47.0,3.6989700043360187,0.045288813752757756,2.8640049785494415
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKACB","P22694",5567,"AGC","PKA",1.6020599913279625,24,1.0,0.5832373411698016,2.5933689459639715,0.35206755515067767,23.0,2.0457574905606752,0.18964288774432264,2.4959888724466643
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKACG","P22612",5568,"AGC","PKA",1.1700704113213471,59,1.0,0.16541653709774362,1.6008591159725494,0.3848689662085665,3.0,1.1752235375244542,0.0,1.6008591159725494
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCA","P17252",5578,"AGC","PKC",1.9829666607012197,11,1.0,0.965577341909892,2.8028942436059956,0.3484832169353054,21.0,2.0655015487564325,0.07393735488432966,2.855232613964014
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCB","P05771",5579,"AGC","PKC",1.5086383061657274,31,1.0,0.5373416236429263,2.5733946534324748,0.3237551614349944,17.0,1.8538719643217618,0.1744010488071994,2.585061953843769
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCD","Q05655",5580,"AGC","PKC",2.1307682802690238,9,1.0,1.0713980659982076,2.9736118704180234,0.37380044548599867,18.0,2.1804560644581312,0.11327825795386877,2.996844442082217
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCE","Q02156",5581,"AGC","PKC",1.5199930570428495,28,1.0,0.5037822009589842,2.5497400840771793,0.34126379443149774,16.0,1.6819366650372385,0.18551031460203266,2.526894097358525
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCG","P05129",5582,"AGC","PKC",1.5985994592184558,25,1.0,0.49205226116720424,2.7200719892034146,0.3750580469767197,10.0,1.6536470255493614,0.4367927219336397,2.4840299060625077
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCH","P24723",5583,"AGC","PKC",1.5114492834995557,29,1.0,0.465744087580926,2.6022159086483287,0.3018594264984057,10.0,1.6946486305533761,0.3937999409469622,2.448823442893546
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCI","P41743",5584,"AGC","PKC",1.114638779968488,65,1.0,0.11798367037062295,1.7520273751331836,0.2770503203074128,11.0,1.149966742310231,0.07352449095168992,1.8052334354228594
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCQ","Q04759",5588,"AGC","PKC",1.3169529617611504,45,1.0,0.29721978056921183,2.3365917843290105,0.2741850641038674,16.0,1.4001169279263121,0.10641146819077255,2.271225062038862
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKCZ","Q05513",5590,"AGC","PKC",1.099086932262331,68,1.0,0.10258709547357707,1.5738975085913338,0.17949550681643478,6.0,1.1203307943679464,0.0,1.5738975085913338
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKD1","Q15139",5587,"CAMK","PKD",1.3027706572402824,46,1.0,0.2972887709044571,2.1975064953904577,0.37152265177833116,6.0,1.3279021420642825,0.0,2.1975064953904577
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKG1","Q13976",5592,"AGC","PKG",3.3979400086720375,2,1.0,2.279823148033472,2.988994394894612,0.34444884118579716,34.0,3.6989700043360187,0.17895067182476984,3.012696462946185
