"UKA_app10.UKA10.contrast","UKA_app10.UKA10.Sgroup_contrast","UKA_app10.UKA10.Kinase Name","UKA_app10.UKA10.Kinase Uniprot ID","UKA_app10.UKA10.Kinase entrezid","UKA_app10.UKA10.Kinase Group","UKA_app10.UKA10.Kinase Family","UKA_app10.UKA10.Median Final score","UKA_app10.UKA10.Final score rank","UKA_app10.UKA10.Mean Significance Score","UKA_app10.UKA10.Mean Specificity Score","UKA_app10.UKA10.Median Kinase Statistic","UKA_app10.UKA10.Median Kinase Change","UKA_app10.UKA10.Mean peptide set size","UKA_app10.UKA10.Max Final score","UKA_app10.UKA10.SD Kinase Statistic","UKA_app10.UKA10.Mean Kinase Statistic"
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AKT1","P31749",207,"AGC","Akt",1.976500618451988,25,1.2375453477915381,0.7033540276537625,1.2514797928837313,0.3325084904829626,23.0,2.164689999130937,0.04951495233754619,1.2865152351387128
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AKT2","P31751",208,"AGC","Akt",2.227971834675145,15,1.2375453477915381,0.9601805990682721,1.3569976798547927,0.29797388712565015,22.0,2.4862498499181767,0.05085356840182447,1.3662236700653227
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AKT3","Q9Y243",10000,"AGC","Akt",1.9443159350805868,26,1.2375453477915381,0.7670154191747851,1.464462326152849,0.36453220477470766,8.0,2.1788796762231764,0.07915066202332795,1.4880283738109041
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","ARAF","P10398",369,"TKL","RAF",2.0449860969619498,18,1.5798613746054597,0.502843719836892,1.386723128944663,0.44970893859863575,3.0,2.3147958655289855,0.0,1.386723128944663
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","ATR","Q13535",545,"Atypical","PIKK",1.1405494593347343,63,0.9634758779742006,0.17360340390228501,0.9211678811761589,0.29259959061940766,5.0,1.1788272283658692,0.015516945487167496,0.9159955660137697
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AURKA","O14965",6790,"CAMK","Aur",1.3890844446758248,47,1.2615554670636717,0.11835216271231798,0.7570376818288791,0.13054051995277316,4.0,1.4365189146055894,0.0,0.7570376818288791
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","AURKB","Q96GD4",9212,"CAMK","Aur",0.7672782675143527,73,0.6253978192617564,0.05939390852161539,0.6105334993365137,0.1628417074680355,4.0,0.8025981321060437,0.12272118399856552,0.5486878358203987
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","BRAF","P15056",673,"TKL","RAF",2.0449860969619498,19,1.5798613746054597,0.502843719836892,1.386723128944663,0.44970893859863575,3.0,2.3147958655289855,0.0,1.386723128944663
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2A","Q9UQM7",815,"CAMK","CAMK2",4.142667503568731,1,1.5577917906250125,2.578558006070426,2.384035408175509,0.386536386277933,6.0,4.251811972993799,0.20981579829779606,2.3398610395171255
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2B","Q13554",816,"CAMK","CAMK2",2.499214827082544,14,1.274079958714091,1.410909119228804,1.958428087475206,0.3250761727491933,5.0,3.239577516576788,0.2844652301164212,1.956304848474179
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2D","Q13557",817,"CAMK","CAMK2",3.239577516576788,7,1.3867695833375504,1.762029650439,2.0224511518222283,0.41237999333275493,6.0,3.297569463554475,0.1134485991985866,2.032385325390974
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK2G","Q13555",818,"CAMK","CAMK2",2.507185825305443,13,1.2678286333345863,1.2640168336263624,1.8252489742258824,0.41810566849178904,6.0,2.9665762445130506,0.12718303641790948,1.8024322573701466
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK4","Q16566",814,"CAMK","CAMK1",2.628562682595899,12,1.2375453477915381,1.3795944406361975,1.7598188426855843,0.3377686341603554,9.0,2.903785414653595,0.07129232815342097,1.7150586868950546
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK1","P06493",983,"CMGC","CDK",0.13635837765423703,98,0.13628965259173742,0.0017457473156996303,0.12909191654108748,0.05115874040694367,7.0,0.20988098362381305,0.043921066718294086,0.1354547289290906
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK10","Q15131",8558,"CMGC","CDK",1.506737181411742,36,1.2375453477915381,0.24422723784388634,1.115966099360697,0.23153664006125454,4.0,1.630784142589857,0.10804950687700829,1.0512223475794047
