,gene_name,ensembl_gene_id,chromosome,Source,Start,Strand,gene_source,gene_biotype,gene_length,gene_coding_length,Approved symbol,Approved name,Status,Previous symbols,Alias symbols,gene_include,n_cells,pct_cells
FO538757.2,FO538757.2,ENSG00000279457,1,ensembl,184922,-,ensembl,protein_coding,15400,1982,WASH9P,"WAS protein family homolog 9, pseudogene",Approved,nan,nan,True,24326,11.632221722789131
SAMD11,SAMD11,ENSG00000187634,1,ensembl_havana,924879,+,ensembl_havana,protein_coding,19702,3214,SAMD11,sterile alpha motif domain containing 11,Approved,nan,MGC45873,True,1325,0.6335893193577078
NOC2L,NOC2L,ENSG00000188976,1,ensembl_havana,944203,-,ensembl_havana,protein_coding,15106,5539,NOC2L,NOC2 like nucleolar associated transcriptional repressor,Approved,nan,"DKFZP564C186, NET7, NET15, NIR, PPP1R112",True,8445,4.038235322245919
KLHL17,KLHL17,ENSG00000187961,1,ensembl_havana,960586,+,ensembl_havana,protein_coding,5129,3395,KLHL17,kelch like family member 17,Approved,nan,nan,True,1654,0.7909107428057726
PLEKHN1,PLEKHN1,ENSG00000187583,1,ensembl_havana,966496,+,ensembl_havana,protein_coding,9369,2833,PLEKHN1,pleckstrin homology domain containing N1,Approved,nan,DKFZP434H2010,True,3510,1.6784139705249468
PERM1,PERM1,ENSG00000187642,1,ensembl_havana,975203,-,ensembl_havana,protein_coding,6890,3424,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",Approved,C1orf170,"MGC13275, RP11-54O7.8",True,2213,1.0582137084819678
HES4,HES4,ENSG00000188290,1,ensembl_havana,998961,-,ensembl_havana,protein_coding,1211,1118,HES4,hes family bHLH transcription factor 4,Approved,nan,bHLHb42,True,11399,5.45078086894982
ISG15,ISG15,ENSG00000187608,1,ensembl_havana,1001137,+,ensembl_havana,protein_coding,13404,942,ISG15,ISG15 ubiquitin like modifier,Approved,G1P2,"IFI15, UCRP",True,2400,1.1476334841196216
AGRN,AGRN,ENSG00000188157,1,ensembl_havana,1020122,+,ensembl_havana,protein_coding,35996,10758,AGRN,agrin,Approved,AGRIN,nan,True,6418,3.0689632087832215
RNF223,RNF223,ENSG00000237330,1,ensembl_havana,1070965,-,ensembl_havana,protein_coding,3342,1902,RNF223,ring finger protein 223,Approved,nan,nan,True,771,0.36867725677342844
C1orf159,C1orf159,ENSG00000131591,1,ensembl_havana,1081817,-,ensembl_havana,protein_coding,34544,6322,C1orf159,chromosome 1 open reading frame 159,Approved,nan,FLJ20584,True,7946,3.799623193672714
TTLL10,TTLL10,ENSG00000162571,1,ensembl_havana,1173883,+,ensembl_havana,protein_coding,24052,3943,TTLL10,tubulin tyrosine ligase like 10,Approved,TTLL5,FLJ36119,True,1026,0.49061331446113826
TNFRSF18,TNFRSF18,ENSG00000186891,1,ensembl_havana,1203507,-,ensembl_havana,protein_coding,3184,1370,TNFRSF18,TNF receptor superfamily member 18,Approved,nan,"AITR, GITR, CD357",True,520,0.24865392155925137
TNFRSF4,TNFRSF4,ENSG00000186827,1,ensembl_havana,1211325,-,ensembl_havana,protein_coding,2813,1721,TNFRSF4,TNF receptor superfamily member 4,Approved,TXGP1L,"ACT35, OX40, CD134",True,856,0.4093226093359984
SDF4,SDF4,ENSG00000078808,1,ensembl_havana,1216907,-,ensembl_havana,protein_coding,15124,4709,SDF4,stromal cell derived factor 4,Approved,nan,Cab45,True,9930,4.748333540544935
B3GALT6,B3GALT6,ENSG00000176022,1,ensembl_havana,1232264,+,ensembl_havana,protein_coding,2777,2777,B3GALT6,"beta-1,3-galactosyltransferase 6",Approved,nan,beta3GalT6,True,1801,0.8612032937080994
FAM132A,FAM132A,ENSG00000184163,1,ensembl_havana,1242445,-,ensembl_havana,protein_coding,4277,1794,C1QTNF12,C1q and TNF related 12,Approved,"C1QDC2, FAM132A","MGC105127, CTRP12, ADIPOLIN",True,656,0.31368648565936325
UBE2J2,UBE2J2,ENSG00000160087,1,ensembl_havana,1253908,-,ensembl_havana,protein_coding,19977,4712,UBE2J2,ubiquitin conjugating enzyme E2 J2,Approved,nan,"Ubc6p, NCUBE2",True,11054,5.285808555607624
